Gene,BC01_02,BC01_03,BC01_04,BC01_05,BC01_06,BC01_08,BC01_10,BC01_12,BC01_33,BC01_34
TSPAN6,0,0,0,0,0,3.013609937,0,0,0,0
DPM1,3.946252186,4.798721645,2.07616304,5.202344561,3.50040145,4.947774105,3.665543432,2.464995486,4.81227174,3.913581948
SCYL3,1.454120482,0.592937371,4.535610877,2.006141851,4.10844772,3.65616356,4.778903346,0,3.433115465,2.093419615
C1orf112,0,2.667806009,0.292808481,0.230937983,0,0,0.513006671,0,0,0
FGR,0,0,0,0,0,0,0,0,0,0
CFH,0,0,0,0,0.285478504,0,0,0,0,0
FUCA2,2.364818474,3.619753408,0,0,2.243913826,3.467894144,4.487400605,3.440147814,3.720308821,2.896811002
GCLC,1.353416571,1.7943614,4.69289872,1.199376302,3.982546754,4.071634159,3.019394302,1.760794849,4.270814867,4.363460942
NFYA,0.571074617,0.73191599,0,0.314583342,0,0,0.488756356,4.404529778,2.440088409,0
STPG1,0.598934964,0,0,0.974035307,0,0,2.466820644,0,0,0
NIPAL3,4.501691052,3.75358296,2.203251496,3.888543309,0.637145281,4.216026389,3.530619583,3.704895428,2.888724174,4.102838988
LAS1L,3.831677287,2.909895791,1.83304112,1.196360475,0,0,2.731541945,0,2.341292958,4.076541355
ENPP4,0.190658289,0,0,0,0.913005012,0,0.262469556,0,4.287293682,1.708678378
SEMA3F,0.148450149,0.095231073,0,0,0,0.384945073,0,0,0.911943207,0
ANKIB1,4.173832905,0.35741276,2.371673992,0.774273143,0,4.02044036,3.55178314,0.570714094,4.971192368,4.181036534
CYP51A1,5.606534363,4.887603705,2.826644268,4.866314001,0.131176541,4.438134499,3.511390806,2.868458965,5.724750059,4.450515171
KRIT1,2.986899031,1.168781271,0,2.849334788,2.20604606,3.371839141,2.642334097,0,0,0
RAD52,0,2.344857482,3.591247305,0,0.285478504,3.22191459,3.6787686,0,3.22907296,1.619682574
MYH16,0,0,0,0,0,0,0,0,0,0
BAD,3.749482138,2.912613794,0,0,0,2.498062694,3.511689452,2.246526612,4.185757047,0
LAP3,3.885482306,2.461353389,0,1.927898872,4.646835312,3.026770591,4.937943872,3.910023949,3.883684874,3.12139327
CD99,3.52215107,3.869931892,0,4.089173673,0.610316672,3.575305472,0,0.307323185,0,0.364755264
HS3ST1,0,0,0,0,0,0,0,0,0,0
AOC1,0,0,0,0,0,0,0,0,0,0
WNT16,0,0,0,0,0,0,0,0,0,0
MAD1L1,0,0,0,2.724447997,0,3.179599165,1.157193949,0,0,0
LASP1,3.346599978,2.901697174,3.108243507,3.558237208,1.797753759,1.683736828,4.176834453,1.765935711,0.148341759,3.051516615
SNX11,3.354316666,2.267213283,0,0.530281531,3.143581353,1.028981282,2.825373084,0,0,0
TMEM176A,0,0,0,0,0,0,0,0,0,0
M6PR,4.197868216,0,3.098811362,1.464919875,5.377266332,4.822115328,3.580623509,1.373259819,5.012402262,4.084318281
KLHL13,0,0,0,0,0,0,0,0,0,0
CYP26B1,0,0,0,0,0,0,0,0,0,0
ICA1,3.332058023,3.306048087,4.873677129,4.007596559,4.77349007,5.003563983,5.579127124,5.685756769,4.878215584,3.542763921
DBNDD1,2.570521336,2.114284501,0.784198911,2.819395671,3.25308378,3.202606636,3.527979088,4.168387246,1.900131289,0
ALS2,0,3.899097538,3.961540396,3.561363467,4.815168364,2.567871417,0.067688499,0,4.533327657,1.547851428
CASP10,0,0,0,0,0,0,0,0,0,0
CFLAR,0,3.981813559,3.090655247,0.899661567,3.935945689,2.042950194,0.932440689,0.299946402,4.661744316,0.72289484
TFPI,0,0,0,0,0,0,0,0,0,0
NDUFAF7,4.486602716,4.086296195,0,0,0.798170559,0,0,0,0,0
RBM5,4.373706075,4.852493787,5.235815338,5.174238232,3.347905519,3.677356206,1.60780069,3.402937997,4.402126265,3.731578493
MTMR7,0,0,0,0,0,0,2.903499753,0,0,0
SLC7A2,3.177429564,3.353265687,1.408958398,3.763627929,2.959693669,3.09100341,4.591015589,0.482192621,0.977972055,4.798053532
ARF5,5.060784803,4.560879208,4.877875466,3.47517941,5.260309158,4.535266552,4.922256941,3.934555051,2.652714512,2.47012896
SARM1,0,0,0,0,0,0,0,0,0,0
POLDIP2,3.287865707,2.337165781,1.981473199,0,1.419192119,3.056821512,2.036408625,1.258024107,3.688576187,0.207082804
PLXND1,0,0,0,0,0,0,0,0,0,2.154409508
AK2,5.26745681,4.946689157,5.916181576,4.472518981,4.186591717,3.714796127,3.979194288,4.067058445,3.850868022,0
CD38,0,0,0,0,0,0,0,0,0,0
FKBP4,4.033038359,4.935047488,2.145244136,5.145144368,3.15773023,2.821040207,4.538412742,4.993018603,0.329144575,4.566376646
KDM1A,2.780885872,2.091101058,0,1.315791862,4.297522923,0,4.225383644,4.644843594,3.227488837,0
RBM6,3.928307411,3.749594766,5.297861315,4.608029509,5.642967715,4.03662252,3.615138459,1.652004045,3.798523533,4.583798935
CAMKK1,2.377890822,0,0,0,0,0.277391141,0,0.593053773,0,0
RECQL,0.336534678,2.008801633,4.559981794,0,0.775378006,0,0,1.101532576,0,4.526381768
CCDC132,3.268637812,4.107391266,3.406713965,3.018647698,3.156025839,4.725164084,2.875688579,0,0,0
ARHGAP33,0,0,0,0,0,0,0,0,0,0
NDUFAB1,5.907403729,5.546222557,6.229136003,4.897675256,5.848277703,3.965347765,5.223616418,4.957823288,5.046146266,4.293694003
PDK4,0,1.50117613,3.88354198,0,0,0,0,0,0,0
ZMYND10,0,0,0,0,0,0,0,0,0,0
ARX,0,0,0,0,0,0,0,0,0,0
SLC25A13,2.060704223,0.923733919,3.216998192,0.792531465,0.86358772,0,5.014416237,0,0.165427903,0.718027781
ST7,0,2.773645778,0,1.370552314,1.61040345,0,2.674573378,0,0,1.286739652
CDC27,2.26091663,0.058219654,1.363944643,4.778540397,0,4.517976487,3.837961309,0,3.642806367,4.01096091
HCCS,2.354426102,0,4.297689085,3.739463008,5.07267871,0.156859553,3.193379903,1.557662831,0.12215237,0
DVL2,0,0,0,0,0.26264288,1.226010716,1.435432112,1.029227123,0,0.811134117
PRSS22,0,0,0,0,0,0,0,0,0,0
UPF1,1.128318902,2.559520073,0,1.989883187,0.131176541,0,3.030084631,0,1.632697867,0
SKAP2,0,0.238831894,1.859880092,0,0,0.086095757,0,1.329275199,4.854898866,0
SLC25A5,6.573591078,6.909242851,5.954152671,6.463638332,5.985240769,7.03213527,5.653960791,6.979754536,6.134630665,6.778423106
CCDC109B,0,3.974331416,0,0.692726147,0,0,0.631485335,0,0,0
HOXA11,0,0,0,0,0,0,0,0,0,0
POLR2J,4.747493833,5.475554838,5.20696554,4.69655011,5.13611537,5.083022987,3.539951942,4.853219985,4.660232036,3.088205822
DHX33,2.284617398,2.351539529,0,3.277088693,3.267301777,2.682149279,3.673702675,0,0.488360743,1.047557232
THSD7A,0,0,0,0,0.307804282,0,0,0,0,0
LIG3,2.722814522,3.063961932,2.693785089,0,2.595624861,0.935489992,1.491007834,2.370624582,1.025677588,0
RPAP3,1.24718803,3.857348064,3.139056546,0.783443974,0,0,0,0,0,2.109322805
ACSM3,0,0,0,0,0,0.641383721,0,0,4.849825311,0
AC004381.6,0,0,0,0,0,0,0,0,0,0
CIAPIN1,4.029665063,4.289326848,2.907964668,4.357926544,0,4.734775643,3.444059709,5.275720167,4.736863316,0
SPPL2B,0,0,0,0,0,0.148283122,0.457592331,0,0,0
FAM214B,0,0,2.477879638,0.450769919,0,2.199669534,0,0,2.72339337,2.992072823
COPZ2,0,0.40517502,0,1.064159002,0,0,0,0,4.32078744,0
PRKAR2B,0,0,0,0,0,0,0,0,0,0
MSL3,0,1.730939158,0.604564181,0,2.254474931,1.352518317,0.971062328,0,3.401981299,0.858873122
CREBBP,0.717951727,0,0.058299889,3.038468666,2.025240511,1.14035748,3.145450518,0.357490966,3.430854158,0
BZRAP1,0,0,0,0,0,0,1.813576529,0,0,0
MPO,0,0,0,0,0,0,0,0,0,0
PON1,0,0,0,0,0,0,0,0,0,0
GCFC2,4.513599921,1.205361004,0.231224657,3.666324246,2.851265319,4.37175329,4.16478603,0.985434261,4.560656807,0
WDR54,0,0,0,1.505641721,0,2.535952141,0,0,1.13423779,0
CROT,0,0,0,0,0,0,1.991004203,0,1.622885339,0
ABCB4,0,0,0,0,0,0,0,0,0,0
KMT2E,3.280745514,4.102282982,3.929613191,4.426765156,5.111800786,5.264083077,3.417511951,2.399156898,2.281872878,2.932074376
RHBDD2,4.304145522,3.556215203,0,4.337112886,0.343940761,2.067260522,4.917290147,5.234450976,1.598934811,4.090864715
SOX8,0,0,0,0,0,0,0,0,0,0
