Ligand	Receptor	Mediator	TF	Target	Path_ID	Path_Rank	Path_Length	Path_Cost	Path_P	Path_Q	Receptor_P	Receptor_Q	Receptor_Significant	Edge_Types	Edge_Sources	Direction_Status
TNF	ADM		EDN1	CXADR	B_cell_to_Malignant_P000001	1	1	0.3633871103023484	0.20958083832335328	1.0	0.20958083832335328	0.7527801539777588	False	positive_linear	prior+data	known
LCK,PTPN6	CSF3R		TNFSF10	VEGFA	B_cell_to_Malignant_P000002	1	1	0.3856673077402128	0.29141716566866266	1.0	0.29141716566866266	0.7641859138865127	False	positive_linear	prior+data	known
PTPN6	CTNND1	FGFR1	EDN1	CXADR	B_cell_to_Malignant_P000003	1	2	0.8844816954705748	0.47105788423153694	1.0	0.6367265469061876	0.7641859138865127	False	positive_linear;negative_linear	prior+data;prior+data	known
PTPN6	CTNND1	FGFR1	ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	B_cell_to_Malignant_P000004	1	2	0.9154481643843482	0.5528942115768463	1.0	0.6367265469061876	0.7641859138865127	False	positive_linear;positive_linear	prior+data;prior+data	known
PTPN6	CTNND1	FGFR1,PLEKHA5	FHL2	ESR1,IGFBP5	B_cell_to_Malignant_P000005	1	3	1.431651690266444	0.7924151696606786	1.0	0.6367265469061876	0.7641859138865127	False	positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data	known
PTPN6	CTNND1	FGFR1,PLEKHA5,EGLN3,HSD17B4	PRAME	ANGPTL4,C1orf116,C1orf74,CNOT8,ELL,FBXO42,FTH1,GDF15,KMT2D,MAD2L1BP,NR1D1,OBFC1,RFX2,ZSCAN31	B_cell_to_Malignant_P000006	1	5	2.6221998741667396	0.9840319361277445	1.0	0.6367265469061876	0.7641859138865127	False	positive_linear;positive_linear;negative_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data	known
PTPN6	CTNND1	FGFR1,CALML5,FTH1	SERPINB5	VEGFA	B_cell_to_Malignant_P000007	1	4	1.849651899945008	0.7125748502994012	1.0	0.6367265469061876	0.7641859138865127	False	positive_linear;negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data;prior+data	known
PTPN6	CTNND1	FGFR1,PLEKHA5,EGLN3,HSD17B4,SULT1E1	TERF1	RFX2	B_cell_to_Malignant_P000008	1	6	3.0209936657081466	0.9800399201596807	1.0	0.6367265469061876	0.7641859138865127	False	positive_linear;positive_linear;negative_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
AURKB,CDK1,LCK	CTTN	ERLIN2,FGFR1	EDN1	CXADR	B_cell_to_Malignant_P000009	1	3	1.1686884126796042	0.23952095808383234	1.0	0.21956087824351297	0.7527801539777588	False	positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data	known
AURKB,CDK1,LCK	CTTN		ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	B_cell_to_Malignant_P000010	1	1	0.3754230144719852	0.21956087824351297	1.0	0.21956087824351297	0.7527801539777588	False	positive_linear	prior+data	known
AURKB,CDK1,LCK	CTTN	EGLN3,PLEKHA5	FHL2	ESR1,IGFBP5	B_cell_to_Malignant_P000011	1	3	1.4167258325447103	0.6946107784431138	1.0	0.21956087824351297	0.7527801539777588	False	negative_linear;negative_linear;negative_linear	prior+data;prior+data;prior+data	known
AURKB,CDK1,LCK	CTTN	EGLN3,HSD17B4	PRAME	ANGPTL4,C1orf116,C1orf74,CNOT8,ELL,FBXO42,FTH1,GDF15,KMT2D,MAD2L1BP,NR1D1,OBFC1,RFX2,ZSCAN31	B_cell_to_Malignant_P000012	1	3	1.6571559518387413	0.9820359281437125	1.0	0.21956087824351297	0.7527801539777588	False	negative_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data	known
AURKB,CDK1,LCK	CTTN	ERLIN2,FGFR1,CALML5,FTH1	SERPINB5	VEGFA	B_cell_to_Malignant_P000013	1	5	2.1338586171540372	0.4750499001996008	1.0	0.21956087824351297	0.7527801539777588	False	positive_linear;positive_linear;negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data	known
AURKB,CDK1,LCK	CTTN	EGLN3,HSD17B4,SULT1E1	TERF1	RFX2	B_cell_to_Malignant_P000014	1	4	2.055949743380148	0.9660678642714571	1.0	0.21956087824351297	0.7527801539777588	False	negative_linear;positive_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data;prior+data	known
CDK1	CXADR	PLEKHA5,FGFR1	EDN1	CXADR	B_cell_to_Malignant_P000015	1	3	1.3569971208819125	0.5668662674650699	1.0	0.4550898203592814	0.7641859138865127	False	negative_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data	known
CDK1	CXADR	SLC39A6	ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	B_cell_to_Malignant_P000016	1	2	0.7973788609157599	0.23353293413173654	1.0	0.4550898203592814	0.7641859138865127	False	negative_linear;positive_linear	prior+data;prior+data	known
CDK1	CXADR	PLEKHA5	FHL2	ESR1,IGFBP5	B_cell_to_Malignant_P000017	1	2	0.7858990296077897	0.18562874251497005	1.0	0.4550898203592814	0.7641859138865127	False	negative_linear;negative_linear	prior+data;prior+data	known
