Ligand	Receptor	Mediator	TF	Target	Path_ID	Path_Rank	Path_Length	Path_Cost	Path_P	Path_Q	Receptor_P	Receptor_Q	Receptor_Significant	Edge_Types	Edge_Sources	Direction_Status
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,PRF1,KLRD1	CD247	FASLG,IFNG,PRF1	Malignant_to_T_cell_P000001	1	6	2.7815969929325637	0.5369261477045908	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;positive_linear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,CCL5,CD2,CTLA4	CD28	IFNG,PRF1	Malignant_to_T_cell_P000002	1	7	3.1437468662530903	0.4411177644710579	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear;nonlinear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,CCL5,CD2,CD27	CD3D	IFNG,PRF1	Malignant_to_T_cell_P000003	1	7	3.3283104657897367	0.45708582834331335	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear;nonlinear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,CCL5,ELMO1	CD3G	IFNG,PRF1	Malignant_to_T_cell_P000004	1	6	2.728245016043524	0.2215568862275449	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,CCL5,CD2,ITK	CD4	IFNG	Malignant_to_T_cell_P000005	1	7	3.27296116098111	0.5469061876247505	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear;nonlinear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,CCL5,CD2,BTLA	CD40LG	CD69,CD83,FASLG,IRF4	Malignant_to_T_cell_P000006	1	7	3.21203079287542	0.4411177644710579	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear;nonlinear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,PRF1,CTSC,HLA-DPA1,LCP2,SKAP1	CD8A	PRF1	Malignant_to_T_cell_P000007	1	9	4.2501625318352865	0.3972055888223553	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;positive_linear;positive_linear;nonlinear;nonlinear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,PRF1,CTSC,HLA-DPA1,LCK	CD8B	PRF1	Malignant_to_T_cell_P000008	1	8	3.7721975136080483	0.6107784431137725	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;positive_linear;positive_linear;nonlinear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,CCL5,CXCL13	CXCR4	VIM	Malignant_to_T_cell_P000009	1	6	2.794167042191645	0.32335329341317365	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
TNFSF10	CASP10	CASP1,SERPINB9,GZMB,PRF1	HLA-DRA	IFNG	Malignant_to_T_cell_P000010	1	5	2.370985956409491	0.40718562874251496	1.0	0.9760479041916168	0.9760479041916168	False	nonlinear;nonlinear;nonlinear;positive_linear;nonlinear	prior+data;prior+data;prior+data;prior+data;prior+data	known
