Ligand	Receptor	Mediator	TF	Target	Path_ID	Path_Rank	Path_Length	Path_Cost	Path_P	Path_Q	Receptor_P	Receptor_Q	Receptor_Significant	Edge_Types	Edge_Sources	Direction_Status
FYN	CD36	THBS1	EGR1	ABCB6,ABHD16A,AC026806.2,ACSS1,ACY1,AGPAT6,AKAP1,ALDOC,ALKBH3,ALS2CL,ANGPTL4,ANKMY2,ARL16,ARL4A,BAP1,C5orf45,C9orf3,CBR3-AS1,CCDC159,CCNT1,CCSER2,CISD3,CISH,CLP1,CRYAB,CTA-228A9.3,CTNND1,CXADR,CYP4B1,DDX23,DHX35,DNAJA3,ECSIT,ELL,EVPL,EZH1,F3,FAM131A,FAM189B,FAM193B,FBXO18,FBXW4,FEM1B,FGFR1,FOXRED2,FTH1,FXYD3,GDF15,GGA1,GMPPB,GNL1,GOLT1A,GORASP1,H19,HSD17B4,HTT,IGFBP5,INSIG2,ITFG2,KIAA1467,LAMB2,LINC00173,LMO3,MAOB,MAP3K4,MGLL,MST1R,NAT9,NLK,NPLOC4,NQO2,NR1D1,PABPC1L,PCBP1-AS1,PCGF2,PNMT,POLRMT,PPP1R13B,PPP1R1B,PREP,PRKRIR,PRSS23,PSMB3,PTOV1,PVRL1,RAB11FIP1,RAD51C,RBCK1,RCAN1,RFX2,RFXANK,RNF31,RP11-156E6.1,RP13-582O9.5,RPL23,RPS12P26,RRNAD1,SCAP,SEMA3C,SERHL2,SIRT3,SLC29A1,SLC39A6,SMAD5,SPPL3,SPRY1,SPTSSB,SSH3,SYNJ1,TBL1X,TBL3,THBS1,THRSP,TIMP1,TIMP2,TIMP3,TNFAIP2,TNFSF10,TOM1L2,TPCN1,TRAPPC9,USP5,VEGFA,VPS37A,WDR65,WFDC2,ZFP62,ZG16B,ZNF250,ZNF408	T_cell_to_Malignant_P000001	1	2	0.8125611429781698	0.25349301397205587	0.9679192339957766	0.8263473053892215	0.9594927791475872	False	negative_linear;positive_linear	prior+data;prior+data	known
FYN	CD36		ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	T_cell_to_Malignant_P000002	1	1	0.5348821033770941	0.8263473053892215	0.9679192339957766	0.8263473053892215	0.9594927791475872	False	negative_linear	prior+data	known
CD8A	CEACAM5	GSTM3,CGA,SULT1E1	EDN1	CXADR	T_cell_to_Malignant_P000003	1	4	1.7356288507078963	0.405189620758483	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;positive_linear;negative_linear;negative_linear	prior+data;prior+data;prior+data;prior+data	known
CD8A	CEACAM5	GSTM3,CGA	EGR1	ABCB6,ABHD16A,AC026806.2,ACSS1,ACY1,AGPAT6,AKAP1,ALDOC,ALKBH3,ALS2CL,ANGPTL4,ANKMY2,ARL16,ARL4A,BAP1,C5orf45,C9orf3,CBR3-AS1,CCDC159,CCNT1,CCSER2,CISD3,CISH,CLP1,CRYAB,CTA-228A9.3,CTNND1,CXADR,CYP4B1,DDX23,DHX35,DNAJA3,ECSIT,ELL,EVPL,EZH1,F3,FAM131A,FAM189B,FAM193B,FBXO18,FBXW4,FEM1B,FGFR1,FOXRED2,FTH1,FXYD3,GDF15,GGA1,GMPPB,GNL1,GOLT1A,GORASP1,H19,HSD17B4,HTT,IGFBP5,INSIG2,ITFG2,KIAA1467,LAMB2,LINC00173,LMO3,MAOB,MAP3K4,MGLL,MST1R,NAT9,NLK,NPLOC4,NQO2,NR1D1,PABPC1L,PCBP1-AS1,PCGF2,PNMT,POLRMT,PPP1R13B,PPP1R1B,PREP,PRKRIR,PRSS23,PSMB3,PTOV1,PVRL1,RAB11FIP1,RAD51C,RBCK1,RCAN1,RFX2,RFXANK,RNF31,RP11-156E6.1,RP13-582O9.5,RPL23,RPS12P26,RRNAD1,SCAP,SEMA3C,SERHL2,SIRT3,SLC29A1,SLC39A6,SMAD5,SPPL3,SPRY1,SPTSSB,SSH3,SYNJ1,TBL1X,TBL3,THBS1,THRSP,TIMP1,TIMP2,TIMP3,TNFAIP2,TNFSF10,TOM1L2,TPCN1,TRAPPC9,USP5,VEGFA,VPS37A,WDR65,WFDC2,ZFP62,ZG16B,ZNF250,ZNF408	T_cell_to_Malignant_P000004	1	3	1.2485465658171342	0.27345309381237526	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;positive_linear;negative_linear	prior+data;prior+data;prior+data	known
CD8A	CEACAM5		ESR1	ACSS1,AGR2,AGR3,AKAP1,ALG8,ALS2CL,ANGPTL4,ARL4A,ASB8,C1orf74,C9orf3,CALML5,CBR3-AS1,CCDC159,CCDC176,CCL28,CCNT1,CCSER2,CGA,CISH,CLP1,COX6C,CPHL1P,CTNND1,CXADR,CYP4B1,DDX23,DHRS2,DHRS3,DNAJA4,DNASE1,DTNA,ECSIT,EDN1,EFNA5,EGLN3,ELL,EVPL,FAM193B,FAM198B,FBLN1,FBXO18,FBXW4,FEM1B,FHL2,FLII,FTH1,FXYD3,GDF15,GGA1,HARBI1,HIST1H4H,HMGCS2,HOXA10,HSPB8,HTT,ITFG2,KIAA1467,KLHL24,KRT15,KRT23,LAMB2,LGALS3BP,LIMCH1,LINC00173,MAD2L1BP,MGLL,MGP,MMS19,MYLK,NAT9,NDRG1,NEBL,NLK,NPLOC4,NQO2,NR1D1,NREP,OBFC1,OCEL1,PCBP1-AS1,PIP,POLRMT,PPP1R13B,PRSS23,PVRL1,QDPR,RAB11FIP1,RAD51C,RCAN1,RFX2,RND3,RP11-206M11.7,RP4-569M23.4,RRNAD1,S100A8,S100A9,S100P,SCAP,SDC2,SEMA3C,SERPINA3,SERPINB5,SLC29A1,SLC39A6,SLC4A8,SNCG,SPPL2A,SRI,SSH3,STRN4,SYBU,TBL1X,TFF1,TFF3,THAP3,THBS1,TIMP1,TIMP2,TNFAIP2,TOB1,TOM1L2,TPCN1,TPM1,TRAPPC9,USP5,VEGFA,WDR46,ZFAND2A,ZNF133,ZNF32,ZNF44,ZNF799,ZNF823,ZSCAN31	T_cell_to_Malignant_P000005	1	1	0.5220055993254895	0.8003992015968064	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear	prior+data	known
CD8A	CEACAM5	GSTM3,CGA	FHL2	ESR1,IGFBP5	T_cell_to_Malignant_P000006	1	3	1.2267806555050889	0.1936127744510978	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data	known
CD8A	CEACAM5	GSTM3,CGA,SULT1E1	PRAME	ANGPTL4,C1orf116,C1orf74,CNOT8,ELL,FBXO42,FTH1,GDF15,KMT2D,MAD2L1BP,NR1D1,OBFC1,RFX2,ZSCAN31	T_cell_to_Malignant_P000007	1	4	1.7932781624127985	0.5289421157684631	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;positive_linear;negative_linear;negative_linear	prior+data;prior+data;prior+data;prior+data	known
CD8A	CEACAM5	GSTM3,CGA,SULT1E1,AGR2,RPL23,SCGB2A2,FGFR4,PLEKHA5,CXADR,SLC39A6,S100A7,CASP14,CALML5,FTH1	SERPINB5	VEGFA	T_cell_to_Malignant_P000008	1	15	6.80090620348951	0.7445109780439122	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;positive_linear;negative_linear;negative_linear;negative_linear;positive_linear;positive_linear;positive_linear;negative_linear;negative_linear;negative_linear;positive_linear;negative_linear;positive_linear;positive_linear	prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data;prior+data	known
CD8A	CEACAM5	GSTM3,CGA,SULT1E1	TERF1	RFX2	T_cell_to_Malignant_P000009	1	4	1.8002334783362444	0.5548902195608783	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;positive_linear;negative_linear;negative_linear	prior+data;prior+data;prior+data;prior+data	known
CD8A	CEACAM5	GSTM3	VEGFA	EGR1,TIMP2	T_cell_to_Malignant_P000010	1	2	0.8911422047208482	0.48902195608782434	0.9679192339957766	0.8003992015968064	0.9594927791475872	False	negative_linear;negative_linear	prior+data;prior+data	known
