Ligand	Receptor	Score
SEMA3F	NRP2	7
SEMA3F	NRP1	8
SEMA3F	PLXNA3	7
SEMA3F	PLXNA1	6
CX3CL1	CX3CR1	12
HEBP1	FPR3	8
HEBP1	ADRA2A	5
HEBP1	MTNR1A	5
HEBP1	GRM7	5
DCN	MET	7
DCN	EGFR	9
DCN	ERBB4	8
GRN	TNFRSF1B	5
GRN	CLEC4M	4
GRN	EGFR	4
GRN	TNFRSF1A	5
GRN	SORT1	6
UTS2	UTS2R	10
ICAM3	CLEC4M	8
ICAM3	ITGB2	7
ICAM3	ITGAL	8
ICAM3	CD209	5
ICAM3	ITGAD	7
CEACAM1	SELE	4
CEACAM1	EGFR	4
CEACAM1	CD209	5
PRLH	PRLHR	11
FGF4	FGFR3	11
FGF4	FGFR1	10
FGF4	FGFR4	11
FGF4	FGFR2	11
FGF4	NRP1	9
ST6GAL1	CD22	6
ST6GAL1	EGFR	4
NTN1	UNC5A	9
NTN1	UNC5B	9
NTN1	ADORA2B	8
NTN1	UNC5D	8
NTN1	DCC	9
NTN1	UNC5C	9
NTN1	NEO1	9
SCT	ADRB3	5
SCT	VIPR2	8
SCT	ADCYAP1R1	5
SCT	ADRB2	5
SCT	TSHR	5
SCT	RAMP2	5
SCT	VIPR1	9
SCT	PTH1R	5
SCT	SCTR	11
SCT	RAMP3	5
SCT	GPR20	5
SCT	GPR84	5
FGF20	FGFR1	7
FGF20	FGFR3	7
FGF20	FGFR2	7
FGF20	FGFR4	9
CEACAM6	EGFR	4
THPO	MPL	12
EFNB1	ERBB2	8
EFNB1	EPHB1	11
EFNB1	EPHA4	9
EFNB1	EPHB6	9
EFNB1	EPHB3	10
EFNB1	EPHB2	11
EFNB1	EPHB4	10
EFNB1	EPHA6	7
DLL3	NOTCH1	12
DLL3	NOTCH2	11
DLL3	NOTCH4	11
DLL3	NOTCH3	11
SEMA4G	PLXNB2	9
VCL	ALK	4
VCL	ITGB5	5
EFNA2	EPHA3	11
EFNA2	EPHA8	11
EFNA2	EPHA7	11
EFNA2	EPHA2	11
EFNA2	EPHA4	11
EFNA2	EPHA1	11
EFNA2	EPHA5	11
EFNA2	EPHA10	5
EFNA2	EPHA6	8
FGF22	FGFR1	6
FGF22	FGFR2	9
MADCAM1	CD44	8
MADCAM1	ITGA4	7
MADCAM1	ITGB7	7
MIF	CXCR2	5
MIF	CD44	3
MIF	CD74	7
MIF	EGFR	4
MIF	CXCR4	5
OSM	IL6ST	10
OSM	OSMR	10
OSM	LIFR	9
TCN2	CNR1	7
TCN2	LRP2	7
LGALS1	PTPRC	7
LGALS1	ITGB1	6
NID2	COL13A1	7
GZMB	CHRM3	8
GZMB	IGF2R	8
RSPO4	LGR5	8
RSPO4	LGR6	8
RSPO4	LGR4	8
OXT	AVPR1A	8
OXT	AVPR2	8
OXT	AVPR1B	8
OXT	OXTR	11
F9	LRP1	9
PCSK1N	GPR171	4
TIMP1	CD63	8
TIMP1	FGFR2	4
MMP2	FGFR1	4
MMP2	CCR2	4
MMP2	PECAM1	4
MMP2	SDC2	7
CCL22	CCR4	13
CCL22	ACKR2	7
