cell_name	cell_type
BC01_02	Malignant
BC01_03	Malignant
BC01_04	Malignant
BC01_05	Malignant
BC01_06	Malignant
BC01_08	Malignant
BC01_10	Malignant
BC01_12	Malignant
BC01_33	Malignant
BC01_34	Malignant
BC01_50	Stromal
BC01_53	Malignant
BC01_55	Malignant
BC01_57	Malignant
BC01_66	Malignant
BC01_69	Malignant
BC01_70	Malignant
BC01_72	Malignant
BC01_74	Stromal
BC01_77	Malignant
BC01_87	Malignant
BC01_95	Malignant
BC04_01	Malignant
BC04_02	Malignant
BC04_07	Malignant
BC04_08	Stromal
BC04_09	Malignant
BC04_11	Malignant
BC04_13	Malignant
BC04_14	Malignant
BC04_16	Malignant
BC04_20	Malignant
BC04_21	Myeloid
BC04_22	Malignant
BC04_23	Malignant
BC04_24	Malignant
BC04_27	Malignant
BC04_28	Malignant
BC04_29	Malignant
BC04_30	Malignant
BC04_31	Malignant
BC04_32	Malignant
BC04_33	Malignant
BC04_35	Myeloid
BC04_36	Malignant
BC04_37	Malignant
BC04_39	Malignant
BC04_40	Malignant
BC04_41	Malignant
BC04_45	Malignant
BC04_49	Malignant
BC04_53	Malignant
BC04_54	Malignant
BC04_56	Malignant
BC04_58	Malignant
BC04_59	Malignant
BC04_60	Malignant
BC04_61	Malignant
BC04_62	T_cell
BC04_63	Malignant
BC04_64	Malignant
BC04_66	T_cell
BC04_69	Malignant
BC04_71	Malignant
BC04_72	Myeloid
BC04_77	Malignant
BC04_78	Malignant
BC04_82	Malignant
BC04_85	Malignant
BC04_86	Malignant
BC04_88	Malignant
BC04_89	T_cell
BC04_90	Malignant
BC04_91	Malignant
BC04_92	Malignant
BC04_93	Malignant
BC04_96	T_cell
BC07_01	Malignant
BC07_03	T_cell
BC07_04	Myeloid
BC07_06	Malignant
BC07_07	Myeloid
BC07_08	Malignant
BC07_09	Myeloid
BC07_12	Malignant
BC07_15	Malignant
BC07_16	T_cell
BC07_18	Malignant
BC07_20	Malignant
BC07_23	Stromal
BC07_24	Malignant
BC07_27	Malignant
BC07_30	T_cell
BC07_31	Malignant
BC07_35	Malignant
BC07_36	Malignant
BC07_38	Malignant
BC07_39	Malignant
BC07_42	Stromal
BC07_43	Malignant
BC07_44	Stromal
BC07_50	Myeloid
BC07_52	Stromal
BC07_55	Myeloid
BC07_56	T_cell
BC07_57	Malignant
BC07_58	Myeloid
BC07_59	Malignant
BC07_60	T_cell
BC07_61	T_cell
BC07_63	B_cell
BC07_65	Malignant
BC07_66	Malignant
BC07_67	Malignant
BC07_68	B_cell
BC07_69	T_cell
BC07_72	Malignant
BC07_73	Malignant
BC07_75	Malignant
BC07_78	Malignant
BC07_79	Myeloid
BC07_80	B_cell
BC07_83	Myeloid
BC07_87	Malignant
BC07_89	Malignant
BC07_93	Myeloid
BC07_95	Myeloid
BC07LN_02	Malignant
BC07LN_03	B_cell
BC07LN_04	B_cell
BC07LN_05	B_cell
BC07LN_06	Malignant
BC07LN_10	Stromal
BC07LN_13	Malignant
BC07LN_15	Malignant
BC07LN_16	B_cell
BC07LN_18	B_cell
BC07LN_19	B_cell
BC07LN_22	B_cell
BC07LN_23	Malignant
BC07LN_26	Malignant
BC07LN_27	B_cell
BC07LN_29	Malignant
BC07LN_30	Malignant
BC07LN_31	Malignant
BC07LN_34	Malignant
BC07LN_35	Malignant
BC07LN_36	Malignant
BC07LN_40	Malignant
BC07LN_41	Malignant
BC07LN_42	Malignant
BC07LN_49	B_cell
BC07LN_50	B_cell
BC07LN_51	Malignant
BC07LN_52	Malignant
BC07LN_53	B_cell
BC07LN_54	T_cell
BC07LN_57	Malignant
BC07LN_59	B_cell
BC07LN_60	Malignant
BC07LN_62	B_cell
BC07LN_64	B_cell
BC07LN_67	B_cell
BC07LN_68	B_cell
BC07LN_71	B_cell
BC07LN_73	Malignant
BC07LN_75	Malignant
BC07LN_79	Malignant
BC07LN_81	B_cell
BC07LN_82	Malignant
BC07LN_83	B_cell
BC07LN_84	B_cell
BC07LN_86	Malignant
BC07LN_89	B_cell
BC07LN_90	T_cell
BC07LN_91	Malignant
BC07LN_94	B_cell
BC07LN_95	Malignant
BC07LN_96	B_cell
BC03_03	T_cell
BC03_06	B_cell
BC03_09	Malignant
BC03_11	Malignant
BC03_13	Malignant
BC03_16	Malignant
BC03_17	Malignant
BC03_19	Malignant
BC03_20	Malignant
BC03_21	Malignant
BC03_23	Malignant
BC03_24	B_cell
BC03_25	T_cell
BC03_26	Malignant
BC03_28	B_cell
BC03_29	Malignant
BC03_35	Malignant
BC03_37	Malignant
BC03_41	Malignant
BC03_43	Malignant
BC03_50	T_cell
BC03_53	B_cell
BC03_57	T_cell
BC03_58	T_cell
BC03_60	B_cell
BC03_66	T_cell
BC03_78	T_cell
BC03_81	B_cell
BC03_85	T_cell
BC03_86	B_cell
BC03_92	B_cell
BC03_93	B_cell
BC03_94	T_cell
BC03LN_01	B_cell
BC03LN_04	B_cell
BC03LN_05	Malignant
BC03LN_06	B_cell
BC03LN_10	B_cell
BC03LN_11	B_cell
BC03LN_13	B_cell
BC03LN_14	B_cell
BC03LN_17	B_cell
BC03LN_19	Malignant
BC03LN_20	B_cell
BC03LN_21	B_cell
BC03LN_23	Malignant
BC03LN_25	Malignant
BC03LN_26	B_cell
BC03LN_27	B_cell
BC03LN_28	Malignant
BC03LN_31	B_cell
BC03LN_32	B_cell
BC03LN_34	B_cell
BC03LN_35	Malignant
BC03LN_37	B_cell
BC03LN_38	B_cell
BC03LN_42	B_cell
BC03LN_44	B_cell
BC03LN_47	Malignant
BC03LN_48	B_cell
BC03LN_49	B_cell
BC03LN_50	B_cell
BC03LN_51	B_cell
BC03LN_53	T_cell
BC03LN_56	T_cell
BC03LN_57	Malignant
BC03LN_58	B_cell
BC03LN_61	Malignant
BC03LN_62	B_cell
BC03LN_63	B_cell
BC03LN_64	B_cell
BC03LN_65	B_cell
BC03LN_68	B_cell
BC03LN_69	B_cell
BC03LN_70	B_cell
BC03LN_71	B_cell
BC03LN_72	B_cell
BC03LN_73	T_cell
BC03LN_74	B_cell
BC03LN_78	T_cell
BC03LN_79	B_cell
BC03LN_85	B_cell
BC03LN_89	Malignant
BC03LN_91	T_cell
BC03LN_93	B_cell
BC03LN_95	B_cell
BC08_01	Stromal
BC08_04	Stromal
BC08_06	Malignant
BC08_08	Malignant
BC08_10	Myeloid
BC08_22	Malignant
BC08_24	Malignant
BC08_27	Malignant
BC08_31	Stromal
BC08_33	Malignant
BC08_36	Malignant
BC08_48	Malignant
BC08_51	Malignant
BC08_54	Stromal
BC08_56	Malignant
BC08_59	Malignant
BC08_70	Malignant
BC08_73	Malignant
BC08_83	Stromal
BC08_88	Stromal
BC08_94	Malignant
BC08_95	Malignant
BC09_05	Myeloid
BC09_13	Stromal
BC09_19	T_cell
BC09_21	T_cell
BC09_25	Myeloid
BC09_29	Myeloid
BC09_31	Myeloid
BC09_33	Myeloid
BC09_34	Myeloid
BC09_37	Myeloid
BC09_42	Myeloid
BC09_44	T_cell
BC09_45	Myeloid
BC09_46	Myeloid
BC09_48	Myeloid
BC09_49	T_cell
BC09_50	Myeloid
BC09_53	B_cell
BC09_57	T_cell
BC09_64	Myeloid
BC09_65	Myeloid
BC09_70	Stromal
BC09_83	Myeloid
BC09_86	T_cell
BC09_92	Myeloid
BC09_93	T_cell
BC09_Re_01	T_cell
BC09_Re_03	T_cell
BC09_Re_05	Stromal
BC09_Re_06	T_cell
BC09_Re_07	T_cell
BC09_Re_13	Stromal
BC09_Re_14	T_cell
BC09_Re_15	T_cell
BC09_Re_21	T_cell
BC09_Re_32	Myeloid
BC09_Re_37	T_cell
BC09_Re_39	T_cell
BC09_Re_41	T_cell
BC09_Re_43	T_cell
BC09_Re_44	Myeloid
BC09_Re_46	Myeloid
BC09_Re_54	T_cell
BC09_Re_57	T_cell
BC09_Re_59	Myeloid
BC09_Re_60	T_cell
BC09_Re_61	B_cell
BC09_Re_62	T_cell
BC09_Re_66	T_cell
BC09_Re_74	T_cell
BC09_Re_80	Myeloid
BC09_Re_83	T_cell
BC09_Re_88	Myeloid
BC09_Re_94	T_cell
BC09_Re_95	T_cell
BC10_07	Myeloid
BC10_09	Malignant
BC10_16	Malignant
BC10_20	Stromal
BC10_43	Myeloid
BC10_47	Malignant
BC10_54	Malignant
BC10_58	Malignant
BC10_67	Stromal
BC10_69	Malignant
BC10_73	Malignant
BC10_80	Malignant
BC10_81	Malignant
BC10_85	Malignant
BC10_95	Malignant
BC02_02	Malignant
BC02_08	Malignant
BC02_09	Malignant
BC02_10	Malignant
BC02_11	Malignant
BC02_12	Malignant
BC02_13	Malignant
BC02_14	Malignant
BC02_15	Malignant
BC02_18	Malignant
BC02_19	Malignant
BC02_22	Malignant
BC02_24	Malignant
BC02_25	Malignant
BC02_26	Malignant
BC02_28	Malignant
BC02_31	Malignant
BC02_34	Malignant
BC02_44	Malignant
BC02_47	Malignant
BC02_50	Malignant
BC02_51	Malignant
BC02_53	Malignant
BC02_54	Malignant
BC02_55	Malignant
BC02_58	Malignant
BC02_59	Malignant
BC02_60	Malignant
BC02_61	Malignant
BC02_62	Malignant
BC02_63	Malignant
BC02_64	Malignant
BC02_66	Malignant
BC02_67	Malignant
BC02_68	Malignant
BC02_70	Malignant
BC02_71	Malignant
BC02_73	Malignant
BC02_74	Malignant
BC02_75	Malignant
BC02_76	Malignant
BC02_79	Malignant
BC02_81	Malignant
BC02_82	Malignant
BC02_83	Malignant
BC02_86	Malignant
BC02_88	Malignant
BC02_89	Malignant
BC02_90	Malignant
BC02_93	Malignant
BC02_94	Malignant
BC02_95	Malignant
